NOME,SIGLA,CNPJ,NOME_CIDADE,BAIRRO,ENDERECO
Universidade Federal do Rio Grande do Sul,UFRGS,92.969.856/0001-98,Porto Alegre,Farroupilha,"Avenida Paulo Gama, 110"
Universidade Estadual do Rio Grande do Sul,UERGS,04.732.975/0001-65,Porto Alegre,Centro,"Rua Sete de Setembro, 1156"
Fundação Universidade Federal do Pampa,UNIPAMPA,09.341.233/0001-22,Bagé,Centro,"Avenida General Osório, 900"
"Instituto Federal de Educação, Ciência e Tecnologia Sul-Rio Grandense",IFSul,10.729.992/0001-46,Pelotas,Centro,"Rua Gonçalves Chaves, 3218"
"Instituto Federal de Educação, Ciência e Tecnologia Farroupilha",IFFarroupilha,10.662.072/0001-58,Santa Maria,Camobi,"Rua Esmeralda, 430"
Universidade Federal de Pelotas,UFPEL,92.242.080/0001-00,Pelotas,Centro,"Rua Gomes Carneiro, 1"
Universidade Federal de Santa Maria,UFSM,95.591.764/0001-05,Santa Maria,Camobi,"Cidade Universitária Prof. José Mariano da Rocha Filho, Avenida Roraima, 1000"
"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",IFRS,10.637.926/0001-46,Bento Gonçalves,Centro,"Rua General Osório, 348"
Universidade Federal do Rio Grande,FURG,94.877.586/0001-10,Rio Grande,Carreiros,"Avenida Itália, S/N"
Universidade de Passo Fundo,UPF,92.034.321/0001-25,Passo Fundo,São José,"UPF Campus Passo Fundo - Campus I, BR-285, Km 171"
Pontifícia Universidade Católica do Rio Grande do Sul,PUCRS,88.630.413/0001-09,Porto Alegre,Partenon,"Avenida Ipiranga, 6681"
Fundação Universidade Federal de Ciências da Saúde de Porto Alegre,UFCSPA,92.967.595/0001-77,Porto Alegre,Centro,"Rua Sarmento Leite, 245"
Faculdade Sogipa de Educação Física,SOGIPA,25.115.814/0001-00,Porto Alegre,São João,"Avenida Benjamin Constant, 80"
Escola Superior de Propaganda e Marketing de Porto Alegre,ESPMPOA,61.825.675/0001-64,Porto Alegre,Santo Antônio,"Rua Guilherme Schell, 350"
Universidade de Santa Cruz do Sul,UNISC,95.438.412/0001-14,Santa Cruz do Sul,"Universitário","Av. Independência, 2293"